id,first_name,last_name,phone_number,position,b_date,salary
1,Александр,Александров,9174444111,Менеджер,11.07.1984,50000.0
2,Иван,Иванов,9991122333,Топ-менеджер,22.11.1980,70000.0
3,Антонина,Антонова,9174224111,Офис-менеджер,11.07.1994,30000.0
4,Петр,Петров,9992222333,Тим-лид,22.11.1985,90000.0
5,Антонина,Антонова,9174224111,Офис-менеджер,11.07.1994,30000.0
6,Петр,Петров,9992222333,Тим-лид,22.11.1985,90000.0
7,Антонина,Антонова,9174224111,Офис-менеджер,11.07.1994,30000.0
8,Петр,Петров,9992222333,Тим-лид,22.11.1985,90000.0
9,Марат,Марванов,9876655444,Инженер,07.09.1990,80000.0
10,Алексей,Алексеевич,9998877665,Инженер,13.05.1988,85000.0
